method,alpha,gamma,r2_train,r2_test,correlation_test,mse_test,n_features
Adaptive Lasso,0.011721022975334805,3.0,0.32024667990786504,0.3236997694707988,0.5690290348994667,5.671258696589078,21
Ridge,0.01610262027560939,,0.3260495964696527,0.33049811537632634,0.574893734004469,5.61424972838427,36
Lasso,0.01610262027560939,,0.2923944925097114,0.29560418066992933,0.5445519579944826,5.906860201852564,17
Adaptive Lasso,0.01610262027560939,1.0,0.3079786502160128,0.3106547116983204,0.5580728029044812,5.780650789035631,17
Adaptive Lasso,0.01610262027560939,2.0,0.31628019301004795,0.3193658442426286,0.5653124615794063,5.707601743702036,17
Adaptive Lasso,0.01610262027560939,3.0,0.3184901120918666,0.32190745896944084,0.567474693539477,5.686288495573267,20
Ridge,0.02212216291070448,,0.3260495746079247,0.33049763370441176,0.5748933376322688,5.614253767546038,36
Lasso,0.02212216291070448,,0.28589325921141784,0.28916966428567914,0.5388902726351081,5.960818200615877,16
Adaptive Lasso,0.02212216291070448,1.0,0.30029442996102884,0.3028457913253283,0.551145572806348,5.84613414328741,17
Adaptive Lasso,0.02212216291070448,2.0,0.31380160649930167,0.31665231609438094,0.5629696966824116,5.730356608205256,16
Adaptive Lasso,0.02212216291070448,3.0,0.31632555125678263,0.31961302715145967,0.5654730053305953,5.7055289391130755,18
Ridge,0.03039195382313198,,0.3260495335961443,0.33049696286001684,0.5748927851153781,5.61425939305367,36
Lasso,0.03039195382313198,,0.2799321101513498,0.28298377201036806,0.5336044519797888,6.01269130930175,13
Adaptive Lasso,0.03039195382313198,1.0,0.29186450410779785,0.2942388555284886,0.5433884412379207,5.918309424745787,14
Adaptive Lasso,0.03039195382313198,2.0,0.3111081798039985,0.31391093171292617,0.5606368466054561,5.75334506704676,16
Adaptive Lasso,0.03039195382313198,3.0,0.3131609379793171,0.3161805803537614,0.5624408942819242,5.734312448083335,18
Ridge,0.03906939937054617,,0.32604947707726784,0.3304962477689617,0.574892195583038,5.614265389601035,36
Lasso,0.03906939937054617,,0.2731542955222388,0.27591953148632087,0.5273495571649893,6.071929993096742,12
Adaptive Lasso,0.03906939937054617,1.0,0.28554609476190684,0.2878134220776184,0.5375951329040548,5.972191256649182,13
Adaptive Lasso,0.03906939937054617,2.0,0.3085564597943733,0.31125476247933215,0.5583788463339299,5.775618936233296,15
Adaptive Lasso,0.03906939937054617,3.0,0.311273549509529,0.3141841689176711,0.5606937711080598,5.751053778646001,15
Ridge,0.041753189365604,,0.3260494568316301,0.3304960243138919,0.5748920112474037,5.614267263430809,36
Lasso,0.041753189365604,,0.2714458875435021,0.2741734248091239,0.5258438787341925,6.086572340136128,13
Adaptive Lasso,0.041753189365604,1.0,0.2836282301196834,0.28585020975205266,0.5357992851531103,5.988654189045204,13
Adaptive Lasso,0.041753189365604,2.0,0.3077824562293442,0.31044317836975466,0.5576874564419932,5.782424646525385,15
Adaptive Lasso,0.041753189365604,3.0,0.3108854628166151,0.31376777010536694,0.5603361483241016,5.754545579001713,15
Ridge,0.05736152510448681,,0.3260493135835685,0.33049470367022804,0.5748909207467505,5.614278337967717,36
Lasso,0.05736152510448681,,0.26043348375010567,0.26296175883653317,0.5157278778376649,6.180590137676361,11
Adaptive Lasso,0.05736152510448681,1.0,0.2752164339854616,0.2774396862152243,0.5281785361802007,6.0591824139339945,12
Adaptive Lasso,0.05736152510448681,2.0,0.302298023389295,0.30477007670140965,0.5527242927564366,5.829997641063714,14
Adaptive Lasso,0.05736152510448681,3.0,0.30729855459566513,0.3100612552478208,0.5570582024806582,5.785627343684014,16
Ridge,0.07880462815669913,,0.32604904737562146,0.33049283211809344,0.5748893725092001,5.614294032264184,36
Lasso,0.07880462815669913,,0.244837138108432,0.2471950444667872,0.5005508145971495,6.31280525745547,10
Adaptive Lasso,0.07880462815669913,1.0,0.2638124170359558,0.26614420302369857,0.5175617513250519,6.153903078500366,11
Adaptive Lasso,0.07880462815669913,2.0,0.29152482977057825,0.2938163726919498,0.5426548262215412,5.921852243974173,15
Adaptive Lasso,0.07880462815669913,3.0,0.30143185952515317,0.30409024214983915,0.5516521960655597,5.8356985375573,15
Ridge,0.1082636733874054,,0.32604855541832367,0.3304901573154573,0.5748871547833801,5.614316462387712,36
Lasso,0.1082636733874054,,0.23208795642893854,0.23443435316045724,0.4887954390969724,6.419812734724676,10
Adaptive Lasso,0.1082636733874054,1.0,0.25128095529633243,0.253714200260735,0.5055075085016466,6.258137497011392,8
Adaptive Lasso,0.1082636733874054,2.0,0.2854208278346042,0.28772535638664165,0.5371677509723658,5.972929750136657,13
Adaptive Lasso,0.1082636733874054,3.0,0.29654860148915463,0.29904422762637173,0.5470727801769733,5.8780129601428674,15
Ridge,0.14873521072935117,,0.3260476530637849,0.33048629781008165,0.5748839461572276,5.614348827086758,36
Lasso,0.14873521072935117,,0.21867265139270975,0.22103312740491587,0.47652615466332054,6.53219154916275,7
Adaptive Lasso,0.14873521072935117,1.0,0.24188778726742388,0.24460076593225888,0.49699786952550723,6.334560129088155,7
Adaptive Lasso,0.14873521072935117,2.0,0.27836679926015473,0.2807012381590638,0.5307874427871825,6.031831979924231,12
Adaptive Lasso,0.14873521072935117,3.0,0.2921751648582295,0.29456287739226994,0.5429893503612298,5.915592270840018,15
Ridge,0.20433597178569418,,0.3260460143947509,0.33048067276390325,0.5748792551944327,5.614395997101816,36
Lasso,0.20433597178569418,,0.2046970162099483,0.20711791371049193,0.46459907384749116,6.648880518228523,5
Adaptive Lasso,0.20433597178569418,1.0,0.22889727789533554,0.23214863042711154,0.4847892934877658,6.438980146392324,8
Adaptive Lasso,0.20433597178569418,2.0,0.2661573387004934,0.2685283921830228,0.5191134866703466,6.133909955780963,11
Adaptive Lasso,0.20433597178569418,3.0,0.2877209964440568,0.29004918052468487,0.5388628570864591,5.95344283107719,13
Ridge,0.2807216203941176,,0.326043077446484,0.33047239704098696,0.5748723300395017,5.614465394927576,36
Lasso,0.2807216203941176,,0.19082675583051123,0.1932549926432311,0.4550308683649597,6.765130976403454,4
Adaptive Lasso,0.2807216203941176,1.0,0.2172030781116131,0.2208579550231664,0.4737732664004027,6.533660494238551,7
