alpha,r2_test,mse_test,n_features,method
0.0004893900918477494,0.3270948361563083,5.642788646459672,31,Lasso
0.0006723357536499335,0.3260257309905671,5.65175385406286,28,Lasso
0.0009236708571873865,0.3254645322009526,5.656459905269772,28,Lasso
0.0012689610031679222,0.3244719093047096,5.664783754617488,27,Lasso
0.0017433288221999873,0.3225915476689024,5.680551925022309,28,Lasso
0.002395026619987486,0.31983012221332885,5.703708442531774,27,Lasso
0.0032903445623126675,0.31668104514264706,5.7301156946916,25,Lasso
0.004520353656360241,0.313858078499343,5.753788278853653,23,Lasso
0.006210169418915616,0.30910616542184477,5.793636451528546,21,Lasso
0.008531678524172805,0.3029585784077634,5.845188343340509,18,Lasso
0.011721022975334805,0.29904919477958025,5.877971307028527,17,Lasso
0.01610262027560939,0.2956041806699291,5.906860201852565,17,Lasso
0.02212216291070448,0.28916966428567936,5.9608182006158765,16,Lasso
0.03039195382313198,0.28298377201036806,6.01269130930175,13,Lasso
0.041753189365604,0.2741734248091239,6.086572340136128,13,Lasso
0.05736152510448681,0.2629617588365333,6.180590137676359,11,Lasso
0.07880462815669913,0.2471950444667872,6.31280525745547,10,Lasso
0.1082636733874054,0.23443435316045735,6.419812734724675,10,Lasso
0.14873521072935117,0.22103312740491587,6.53219154916275,7,Lasso
0.20433597178569418,0.20711791371049193,6.648880518228523,5,Lasso
0.2807216203941176,0.1932549926432311,6.765130976403454,4,Lasso
0.38566204211634725,0.18018089958513306,6.8747665503817945,2,Lasso
0.5298316906283708,0.1581599116979855,7.059428204222642,2,Lasso
0.7278953843983146,0.1166818262405287,7.407251467101613,2,Lasso
1.0,0.03851246968427191,8.062757148105964,2,Lasso
0.0001,0.3293822931793269,5.623606691538976,35,Adaptive Lasso
0.00013738237958832623,0.3292820302515016,5.624447467537128,35,Adaptive Lasso
0.00018873918221350977,0.3291829401531633,5.625278408525434,35,Adaptive Lasso
0.0002592943797404667,0.32904910896765094,5.626400678251881,34,Adaptive Lasso
0.0003562247890262444,0.3289070564578116,5.627591889633205,33,Adaptive Lasso
0.0004893900918477494,0.32868202098326704,5.629478972225286,31,Adaptive Lasso
0.0006723357536499335,0.32833482300847483,5.632390474314287,31,Adaptive Lasso
0.0009236708571873865,0.3279815696956422,5.635352754721812,29,Adaptive Lasso
0.0012689610031679222,0.32758130423225973,5.638709265466125,28,Adaptive Lasso
